Condition,Bearing,Model,RMSE,MAE,Score
Condition 1,Bearing1_1,PG-MLP,0.04040496260904922,0.031131207342077395,34.76726
Condition 1,Bearing1_1,PG-CNN,0.04350569285034434,0.03175951436390267,36.521385
Condition 1,Bearing1_1,PG-LSTM,0.04095710645239469,0.029867760118288303,37.006165
Condition 1,Bearing1_1,PG-GRU,0.034294687428048365,0.028688036589784964,32.300735
Condition 1,Bearing1_1,PG-TCN,0.05456692716799557,0.038506902708911536,44.93042
Condition 1,Bearing1_1,PG-LTC,0.06509049550160463,0.052001088746725536,59.247925
Condition 1,Bearing1_1,PG-CFC,0.04103841187573413,0.03356877694502591,39.410652
Condition 2,Bearing2_1,PG-MLP,0.043740906048354074,0.03540763160967726,13.668028
Condition 2,Bearing2_1,PG-CNN,0.058822334635952496,0.04371530940030271,18.286842
Condition 2,Bearing2_1,PG-LSTM,0.07235458958005792,0.05081533994012982,22.40178
Condition 2,Bearing2_1,PG-GRU,0.053505629479043304,0.041616723888429005,16.672443
Condition 2,Bearing2_1,PG-TCN,0.06318136190488303,0.048718083386671884,19.205946
Condition 2,Bearing2_1,PG-LTC,0.13040296236817941,0.09603673141231012,36.42154
Condition 2,Bearing2_1,PG-CFC,0.04702514944680227,0.03799493592792858,14.439951
Condition 3,Bearing3_1,PG-MLP,0.03377476389700584,0.029759334377743477,6.1150975
Condition 3,Bearing3_1,PG-CNN,0.0389597063776466,0.03272139891938014,6.9704247
Condition 3,Bearing3_1,PG-LSTM,0.04624248579304273,0.020540277594517996,4.9296885
Condition 3,Bearing3_1,PG-GRU,0.03753383398987379,0.03270803212310868,6.758397
Condition 3,Bearing3_1,PG-TCN,0.04858892628524169,0.03745461279731154,7.9962935
Condition 3,Bearing3_1,PG-LTC,0.06461859855186514,0.04897276631622958,10.078571
Condition 3,Bearing3_1,PG-CFC,0.06115859303809181,0.049460148644711176,10.40292
