Horizontal,Vertical,Time,Temperature,RPM,Load,Degradation
"[5529830.176667121, 21.299270527843998, 0.06812718709760934, 73.52424706136289, 1.6013717008986132, -0.5477595800064, 4.414418039957826]","[5524056.388085225, 21.299270527843998, 0.06812718714541784, 73.47536543388209, 1.606864666548545, -0.5478112934175385, 4.413467317692959]",0.0,25.0,1800.0,4000.0,0.0
"[2203416.5784104504, 24.34793550567121, 0.19646747205254173, 14.077724797574767, -0.09600480264051744, -0.53990224914642, 2.3141111091415123]","[2209025.6733569712, 24.34793550567121, 0.1964674719913986, 14.065767575893485, -0.10021769995448314, -0.541051192307883, 2.314088706638388]",0.01953,25.0,1800.0,4000.0,8.043857677796686e-05
"[2614670.8204257856, 24.34793550567121, 0.11629075274887159, 40.82128244923845, 1.2716558638900364, -0.57167471286816, 2.730343723353131]","[2616489.279909674, 24.34793550567121, 0.11629075269023396, 40.785662986613154, 1.281171271712898, -0.571827454477435, 2.730662222167945]",0.03906,25.0,1800.0,4000.0,0.00016087720068491533
"[2847846.1980424277, 21.779486287708007, 0.07264027967131323, 48.34153228033409, 1.2204875604139485, -0.57044596510918, 2.9053163838250753]","[2846682.73600807, 21.779486287708007, 0.07264027964209957, 48.345302665747745, 1.2314076452847715, -0.5710038514916047, 2.9045573930981865]",0.05859,25.0,1800.0,4000.0,0.00024131587172087303
"[3472766.6041498655, 20.829643042330236, 0.12550446450854968, 41.249641819506934, -1.6466733502635824, -0.56808167089578, 3.464129962638669]","[3475581.435521457, 20.829643042330236, 0.12153814024343516, 41.21827186670788, -1.6414905656991097, -0.5679845652278548, 3.46527801476342]",0.07812,25.0,1800.0,4000.0,0.00032175458988586747
"[3473808.2754038475, 35.56898559746622, 0.09103157249644447, 41.99918206248176, -1.007812941839495, -0.54980645452301, 3.420614582065964]","[3471020.3419647827, 35.56898559746622, 0.09103157253405725, 41.952852503930266, -1.0024464333870386, -0.5489514836538006, 3.4228235527776363]",0.09766,25.0,1800.0,4000.0,0.00040223454247581504
"[2255235.211419183, 23.811088024719595, 0.4163316754008583, 34.762213094366324, 1.9716027194270418, -0.53426658182732, 2.5443113858649955]","[2264346.966231065, 23.811088024719595, 0.41271997119345033, 34.74816261425948, 1.9689023637029366, -0.5352310540150054, 2.546055515141241]",0.11719,25.0,1800.0,4000.0,0.0004826733549230972
"[1881500.5305942816, 21.779486287708007, 0.38296680653626947, 21.17059197935684, -1.3433453901796264, -0.5464161229495, 2.0223116764912006]","[1886193.734619465, 21.779486287708007, 0.3728046512273486, 21.121948810057496, -1.3398068995530292, -0.5477926180643264, 2.0245890039587255]",0.13672,25.0,1800.0,4000.0,0.000563112214499499
"[6292849.17346318, 42.51426712343621, 0.07332000173181195, 58.85495574791562, 0.2917889266775141, -0.527622538332, 4.79691883079072]","[6303126.176329834, 42.51426712343621, 0.07332000185026155, 58.86259485170974, 0.28698724694145583, -0.5283212936917039, 4.79844097363806]",0.15625,25.0,1800.0,4000.0,0.0006435511212050481
"[4900939.914180548, 20.829643042330236, 0.06812718709760934, 59.1341106025384, 0.3677628054758323, -0.54339339639062, 4.786194601959307]","[4897927.749753408, 20.829643042330236, 0.06812718721838566, 59.153553032229304, 0.3623297021716761, -0.5430501500389503, 4.787517598888546]",0.17578,25.0,1800.0,4000.0,0.0007239900750397719
