Horizontal,Vertical,RUL,Time,RPM,Load,Degradation
"[68745.21435504094, 13.107190317638103, 0.8511459305909548, 0.026621183238976, 0.2090924175971002, 0.01225570338211958, 0.4475696290148615]","[83635.63823538471, 6.172839506172843, 0.8739777994830024, -0.4247266685643778, -0.0778491363064479, 0.015201210151312034, 0.5045913285961356]",161,0.0,2100.0,12000.0,0.0
"[58778.84221808202, 8.554520160171574, 0.8504009504136263, -0.034438636416651125, 0.12924869238169773, -0.009474218590992203, 0.4076580178322872]","[93424.79906915058, 33.1772182838129, 0.9250360677431622, -0.4924375667241696, 0.010537281666238347, -0.03030015589927182, 0.4995524743803201]",161,0.0390625,2100.0,12000.0,9.215923023871532e-17
"[66855.46348222822, 8.342473455385782, 0.8320128126961359, 0.09627196242992664, 0.1293069254011922, -0.018171261543074448, 0.44195284348793684]","[81263.80208314901, 24.548791772903506, 0.9298900985779126, -0.44569270581719733, 0.01415555996322983, 0.020244210098547172, 0.41277220539831116]",161,0.078125,2100.0,12000.0,1.8431875501466513e-16
"[79733.6879390219, 8.342473455385782, 0.5838697658805853, 0.4479423215598919, -0.05046273430130852, 0.016482440269272054, 0.5079202041644322]","[84743.5766736974, 7.176123586213073, 0.8319021317384371, -0.008709068753310678, -0.08763136416968692, 0.010655602273534442, 0.44481797813949553]",161,0.1171875,2100.0,12000.0,2.764786950494675e-16
"[70682.34894300037, 7.545561285025422, 0.5065624239491476, 0.9133056847165428, 0.10501569012982347, -0.003663537044002261, 0.4873034979377949]","[102965.78300126552, 7.545561285025422, 0.8130322738746254, 0.04533009033774604, -0.13827841552743067, -0.03200866124795574, 0.49571081318101595]",161,0.15625,2100.0,12000.0,3.6863918778861305e-16
"[75574.84299535182, 8.342473455385782, 0.6351804096080396, 0.41927506058370767, 0.08408705170687257, -0.022216760584751555, 0.48771124920108144]","[94566.34104476991, 7.545561285025422, 0.6927918725723907, 0.46813872799420997, 0.009589914359048912, 0.026046665051853688, 0.5061974953156791]",161,0.1953125,2100.0,12000.0,4.608003606457215e-16
"[81838.07774789588, 8.342473455385782, 0.6363187439260283, 0.2650416358504253, -0.04552784879042872, 0.014941587962686267, 0.5358861333092783]","[90345.66691583078, 7.545561285025422, 0.7697193178295618, 0.7725725262549825, 0.35891098851344766, 0.004566851220685947, 0.5602430667684326]",161,0.234375,2100.0,12000.0,5.529623424134452e-16
"[82282.26274754792, 7.737352294586978, 0.6232421124892749, 0.5043122202008741, -0.0377940830549136, -0.0008990197332259378, 0.547298739828137]","[110896.09767050529, 6.998244134052005, 0.7846916608664705, 0.6050463179469547, 0.4284496894568531, -0.03890153142366165, 0.5965608135131687]",161,0.2734375,2100.0,12000.0,6.451252619013975e-16
"[76558.76068862577, 7.934018195486519, 0.7238143879150354, 0.41424793890955236, -0.11040706327558064, -0.01989278227353532, 0.5047296832328599]","[106541.57302573299, 7.3585243295573335, 0.8465356164225523, -0.10182695455417168, 0.048207292126548784, 0.03061198741834003, 0.6153468563030592]",161,0.3125,2100.0,12000.0,7.372892479501981e-16
"[71978.64924345956, 17.27502294205524, 0.7138410610947277, 0.119534930891946, 0.018423662611106145, 0.01726652596291931, 0.4644575075815928]","[96311.6940205556, 6.172839506172843, 0.8830909617501315, -0.10282840705021012, -0.08287567658946679, 0.006132714415238105, 0.583620586767871]",161,0.3515625,2100.0,12000.0,8.29454429431441e-16
"[66227.91581724127, 8.342473455385782, 0.6764416016567536, 0.2926671479102163, 0.18082184361781506, -0.004493923443340137, 0.45827359818687385]","[108878.3283450816, 7.545561285025422, 0.8550393367931182, 0.0001988176299692057, 0.06475763145588248, -0.03161913573018046, 0.5617053563560465]",161,0.390625,2100.0,12000.0,9.21620935248268e-16
"[72878.45238043777, 8.342473455385782, 0.7557677861407411, 0.36249835114293427, 0.2522587598613883, -0.02271754906666755, 0.48319318505192754]","[114835.12370860844, 6.172839506172843, 0.8979361007756186, -0.25458534335942273, -0.010319559160559178, 0.03269490208098288, 0.5881141646631233]",161,0.4296875,2100.0,12000.0,1.0137888943944627e-15
"[79038.81487706208, 8.342473455385782, 0.8002582354001921, 0.08952998695396053, 0.0987606509758349, 0.01280628732612792, 0.5100223943177988]","[98124.69023620637, 6.172839506172843, 0.8655797813039499, -0.05326147536609671, 0.06560308566570368, 0.003104603794908229, 0.5184451978304525]",161,0.46875,2100.0,12000.0,1.1059584361064743e-15
"[68920.65788503847, 8.342473455385782, 0.9206188080951092, -0.28822565881494144, 0.09278469347570427, -0.004708775685423575, 0.47520288575019093]","[104810.52715185286, 6.172839506172843, 0.8437523193957577, 0.03890236031729133, -0.1401254172340051, -0.038944842708134475, 0.43745883741516856]",161,0.5078125,2100.0,12000.0,1.1981296894360341e-15
"[72649.27643336174, 8.342473455385782, 0.7999757245461212, 0.001678345405206283, 0.13027482517860306, -0.020625379525232804, 0.4929618112484391]","[93099.18985266928, 7.545561285025422, 0.7666570402782988, 0.24356386851969924, -0.2904869280599366, 0.030067534721192685, 0.4708115880194273]",161,0.546875,2100.0,12000.0,1.2903027834036624e-15
"[78772.88607028319, 8.342473455385782, 0.7470296808634432, 0.22819570720273585, 0.2211423555117919, 0.008819928842045119, 0.5310353638436666]","[102819.78502763898, 7.934018195486519, 0.8054921409782817, 0.22484051237428826, 0.06352222826943503, 0.015618675894503702, 0.5949484092354614]",161,0.5859375,2100.0,12000.0,1.3824778470298795e-15
"[74301.89512691848, 8.342473455385782, 0.5533812175665019, 0.4573913605671964, 0.17341702873066348, -0.0034253702265270238, 0.5233692796471456]","[123688.35289147696, 6.998244134052005, 0.8960778431229354, 0.07497620407513494, 0.3613523587230363, -0.039477592678774445, 0.6361496401906536]",161,0.625,2100.0,12000.0,1.474655009335205e-15
"[80087.48195235973, 8.13568289637656, 0.6707881852838293, 0.1087888548839766, 0.06931694643081178, -0.01832570426421172, 0.5260741400449324]","[107732.819303455, 6.998244134052005, 0.8362171907224982, 0.08731096213379086, 0.3367841846519419, 0.029723897751446543, 0.5726483004995677]",161,0.6640625,2100.0,12000.0,1.5668343993401597e-15
"[87913.79194352454, 8.342473455385782, 0.9062004631382903, -0.2968525982756236, 0.1336297495744328, 0.012653628160254804, 0.5447539969979996]","[99874.6875683286, 6.172839506172843, 0.8196718295477569, -0.02888195348816991, 0.2092171405310627, 0.016133069117506647, 0.5594571324253954]",161,0.703125,2100.0,12000.0,1.6590161461081054e-15
"[70184.90545286729, 7.737352294586978, 0.7986069124493909, 0.1283285893323911, 0.17760791816239835, -0.00558681595412197, 0.4870997128126921]","[115401.97720561383, 7.934018195486519, 0.8910330290195392, -0.12604823515023877, 0.12067880177295191, -0.038017692811107666, 0.5880323200422161]",161,0.7421875,2100.0,12000.0,1.751200379806121e-15
"[69599.33889224274, 8.554520160171574, 0.7527898823439757, 0.17433067799237545, 0.08697251239378395, -0.024129210409244903, 0.4449691320693597]","[97712.68250671728, 7.934018195486519, 0.7771035924783067, 0.3985662948697981, 0.1844846486171624, 0.018142870560028335, 0.5561284918464476]",161,0.78125,2100.0,12000.0,1.843387230270372e-15
"[68006.75917368144, 8.554520160171574, 0.8181412963468762, 0.02358008387114152, 0.06143619211036584, 0.010138030658449797, 0.44480780534554537]","[96546.82870352906, 7.545561285025422, 0.7949482161681137, 0.2628019659930443, 0.29309514692789984, 0.011128166388068003, 0.506203132266274]",161,0.8203125,2100.0,12000.0,1.9355768269304243e-15
"[60549.35551110446, 8.342473455385782, 0.7774280755194584, 0.01303394114546963, 0.026026894629659778, -0.0028066150761683808, 0.43063265539893314]","[108564.90250796474, 7.737352294586978, 0.8502003810425853, -0.08148756628315823, 0.18922210877231008, -0.02884258094418758, 0.5381509571669997]",161,0.859375,2100.0,12000.0,2.0277692992158414e-15
"[71658.7363879975, 7.737352294586978, 0.6878771605469526, 0.01722555072703047, -0.10928981935089246, -0.023138639309177242, 0.4616579913366602]","[100244.75336375425, 7.737352294586978, 0.7869997446923834, 0.19543441262402128, 0.11565186887321179, 0.027035167519945696, 0.5073610735247961]",161,0.8984375,2100.0,12000.0,2.1199647765561876e-15
"[77142.92193598628, 8.554520160171574, 0.7819530981241785, -0.0377718747076381, -0.0834993276109011, 0.011501919298932031, 0.49689988091415094]","[91557.89995257078, 6.172839506172843, 0.8527663579512617, -0.24522334788987044, 0.044697571596290384, 0.01716151800320483, 0.441355209305656]",161,0.9375,2100.0,12000.0,2.212163388381028e-15
"[75424.12085613844, 8.342473455385782, 0.6552974883286258, 0.5867268581333969, 0.18322141810875583, -0.0017547211759675, 0.49931409751939676]","[105302.64027612084, 7.934018195486519, 0.8926233289070589, -0.23461962082964583, 0.1308807968736083, -0.03739690847658178, 0.49799674483528356]",161,0.9765625,2100.0,12000.0,2.3043652641199267e-15
"[73151.80008469213, 8.342473455385782, 0.6391430552365485, 0.8833039966700911, 0.28031928351292684, -0.02173952171796304, 0.47128039607367267]","[95488.0914868353, 7.934018195486519, 0.954019107063714, -0.4631266918503667, 0.12715935919582988, 0.015066405139289295, 0.533395658533157]",161,1.015625,2100.0,12000.0,2.3965705342464924e-15
"[69393.2731629857, 8.342473455385782, 0.6798416060025395, 0.724980906152882, 0.16082638610879604, 0.01397766693832974, 0.45791869440086685]","[89522.12814393957, 7.737352294586978, 0.9599729018339331, -0.4984177530141287, 0.05512203323267517, 0.009511396768403301, 0.513129825117513]",161,1.0546875,2100.0,12000.0,2.488779330066906e-15
"[65639.45635371619, 17.27502294205524, 0.6621332224711023, 1.0776228549855071, 0.2500841062072572, -0.003364634814724967, 0.4384682585690906]","[96443.6818078486, 7.737352294586978, 0.8565950637792243, -0.05382118834123828, -0.062489443663598626, -0.028692433047044087, 0.48357935999787605]",161,1.09375,2100.0,12000.0,2.5809917816621834e-15
"[71490.81925851892, 17.27502294205524, 0.638347565541314, 0.7951903788799015, 0.2122144307699991, -0.02385298754981438, 0.4491866749004999]","[89897.63717056517, 8.13568289637656, 0.7924341899950968, 0.13606252181613376, 0.056195587935970875, 0.026581774316782013, 0.4986185767262532]",161,1.1328125,2100.0,12000.0,2.6732080191030544e-15
"[80430.49614354224, 8.342473455385782, 0.74409337907559, 0.4052317261615652, 0.24505393760756014, 0.011930656756665239, 0.5197545329182733]","[98245.61263494463, 7.737352294586978, 0.7706622876561725, 0.1678357697278181, -0.08269824067161483, 0.00909955095583242, 0.574679190267303]",161,1.171875,2100.0,12000.0,2.765428172460248e-15
"[79308.67833625559, 8.342473455385782, 0.8064583880964573, 0.11629168431130799, 0.1839363638460284, -0.004716353806129615, 0.5302720982410001]","[111911.98666143879, 7.737352294586978, 0.7293650487053194, 0.31507836522080934, -0.07216129722049634, -0.03275474755108448, 0.560843395172433]",161,1.2109375,2100.0,12000.0,2.857652371804494e-15
"[73296.67771739392, 8.342473455385782, 0.7847138257215885, 0.061811224132344744, -0.05258993914556151, -0.025162632822974672, 0.48983610483715856]","[92890.47217450036, 6.172839506172843, 0.6995884019228059, 0.5068941061114827, 0.004044696829758526, 0.027761532184102093, 0.4884006347134772]",161,1.25,2100.0,12000.0,2.9498807472065216e-15
"[65214.69029743923, 8.554520160171574, 0.7588894662582173, 0.4427780612041303, -0.09201886458225697, 0.009775636371505622, 0.44007616447583375]","[88495.52123155585, 7.737352294586978, 0.723675479610149, 0.26592350876711457, 0.11379666852016984, 0.011757688892427308, 0.46477707156153136]",161,1.2890625,2100.0,12000.0,3.0421134291927813e-15
"[55660.80290073224, 7.737352294586978, 0.6345248573512772, 0.5251101408073597, 0.08895438463891119, -0.0007825863204379218, 0.3865509829856071]","[103982.85803046588, 7.545561285025422, 0.7713560478695206, 0.07029123513344793, 0.24442473981627702, -0.036495084802321304, 0.4536409863083934]",161,1.328125,2100.0,12000.0,3.1343505502492047e-15
"[63700.174621386046, 8.342473455385782, 0.7181797358453121, 0.3809849627315107, 0.12098919769050025, -0.024384390241940602, 0.4129588980308265]","[95886.85379563073, 22.768145606839013, 0.6858394408478735, 0.4797563236275715, 0.23839678638898937, 0.028923662464770225, 0.4456875658939388]",161,1.3671875,2100.0,12000.0,3.226592241555262e-15
"[79669.45520805901, 8.13568289637656, 0.6751136965352948, 0.20624840720553372, -0.02606684439625128, 0.010751386198058774, 0.5003590815047408]","[84240.45202259987, 7.737352294586978, 0.736132871996878, 0.21572307594307016, 0.044511788371782095, 0.01163762466993158, 0.45744410161414156]",161,1.40625,2100.0,12000.0,3.318838634069187e-15
"[76605.07573123027, 8.342473455385782, 0.7059327231644358, 0.15882167189156915, 0.04968366032554598, 0.0006732536128627409, 0.5102406183016367]","[108831.2977024285, 7.3585243295573335, 0.8685376342569897, -0.18358807334915994, -0.05465061167074332, -0.04263022259374249, 0.5091876302535873]",161,1.4453125,2100.0,12000.0,3.4110898587492165e-15
"[76772.96077178793, 7.737352294586978, 0.6867383416327204, 0.6530572799475838, 0.26422778220611004, -0.026815744057045558, 0.4836708466119658]","[94573.80686423623, 7.545561285025422, 0.8968914983043195, -0.24467303123891648, -0.14873969230988512, 0.02541559175107176, 0.532899019439345]",161,1.484375,2100.0,12000.0,3.5033460465535854e-15
"[76198.31726307956, 17.27502294205524, 0.6595175817213257, 0.8112717026479541, 0.11623845610140511, 0.009750771415549633, 0.4826637652737171]","[85658.89692381994, 6.172839506172843, 0.8662333252118266, -0.2269082085625187, -0.13341980792936484, 0.017065773251546845, 0.46388534586034796]",161,1.5234375,2100.0,12000.0,3.595607329160117e-15
"[66122.91407468896, 7.737352294586978, 0.7296897358493832, 0.3553612109459916, 0.11609684972247498, 0.0014519007271861924, 0.4514310317279897]","[108469.7934328154, 7.934018195486519, 0.6430891552011233, 0.5584306460606152, 0.038626503755994634, -0.03692848628310233, 0.49790497971927394]",161,1.5625,2100.0,12000.0,3.687873839644465e-15
"[68836.50905860151, 12.156460505642169, 0.8031381958580658, 0.49914597771871083, 0.39393469093889105, -0.019385813680343447, 0.46407937601939436]","[98631.17388286885, 7.737352294586978, 0.6525629351088021, 0.5547033416120621, -0.01602359685289402, 0.027423847702512168, 0.5759430316645654]",161,1.6015625,2100.0,12000.0,3.780145709821671e-15
"[80545.5352394684, 8.342473455385782, 0.8081313115203499, -0.004266506951501103, 0.17347939674144675, 0.00695082077145201, 0.5313048805409057]","[105727.39876023255, 7.545561285025422, 0.686965891249342, 0.3534234839616226, 0.05638876924837628, 0.020996714605003606, 0.5943484171633276]",161,1.640625,2100.0,12000.0,3.8724230714414526e-15
"[76410.89811951437, 8.342473455385782, 0.8536800598525246, -0.11643722109193932, 0.03665905349445154, -0.009098961434211905, 0.5046735798932637]","[124136.26777695747, 7.545561285025422, 0.7912531831695202, 0.06929526937144503, 0.12289873942607084, -0.03326311235945261, 0.5511745907368608]",161,1.6796875,2100.0,12000.0,3.964706056253524e-15
